timestamp,symbol,action,product,result,errors,warnings
2026-04-28 13:12:48,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1025.0 > 984.0) — locking in profit
2026-04-28 13:12:50,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 13:12:52,NTPC,MODIFY,CNC,PASSED,,
2026-04-28 13:42:39,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1030.0 > 984.0) — locking in profit
2026-04-28 13:42:41,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 13:42:43,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1735.0 > 1734.0) — locking in profit
2026-04-28 13:42:45,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1030.0 > 984.0) — locking in profit
2026-04-28 13:42:47,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1428.0 > 1412.94) — locking in profit
2026-04-28 13:42:49,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1738.0 > 1734.0) — locking in profit
2026-04-28 13:42:51,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1025.0 > 984.0) — locking in profit
2026-04-28 13:42:53,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 13:42:55,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1735.0 > 1734.0) — locking in profit
2026-04-28 14:12:17,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1025.0 > 984.0) — locking in profit
2026-04-28 14:12:19,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 14:12:21,NTPC,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (405.0 > 404.5) — locking in profit
2026-04-28 14:12:23,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1735.0 > 1734.0) — locking in profit
2026-04-28 14:12:25,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1028.0 > 984.0) — locking in profit
2026-04-28 14:12:27,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1428.0 > 1412.94) — locking in profit
2026-04-28 14:12:29,NTPC,MODIFY,CNC,PASSED,,
2026-04-28 14:12:31,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1028.0 > 984.0) — locking in profit
2026-04-28 14:12:33,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 14:12:35,NTPC,MODIFY,CNC,PASSED,,
2026-04-28 14:12:37,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1735.0 > 1734.0) — locking in profit
2026-04-28 14:42:11,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1028.0 > 984.0) — locking in profit
2026-04-28 14:42:13,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 14:42:15,NTPC,MODIFY,CNC,PASSED,,
2026-04-28 14:42:17,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1735.0 > 1734.0) — locking in profit
2026-04-28 14:42:19,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 14:42:21,PNBHOUSING,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1028.0 > 984.0) — locking in profit
2026-04-28 14:42:23,NESTLEIND,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1425.0 > 1412.94) — locking in profit
2026-04-28 14:42:25,NTPC,MODIFY,CNC,PASSED,,
2026-04-28 14:42:27,SUNPHARMA,MODIFY,CNC,PASSED,,MODIFY sets SL above entry (1735.0 > 1734.0) — locking in profit
